Name,Symbol,Market,Sector,Industry,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales (ttm),Price/book (mrq),Enterprise value/revenue,Enterprise value/EBITDA,Total ESG risk score,Environmental Risk Score,Social Risk Score,Governance Risk Score
Galaxy Entertainment Group Limited,0027.HK,HSI,Resorts & Casinos,Consumer Cyclical,225.01,209.5,17.24,NA,NA,4.34,3.06,4.04,13.91,26,3,10,13
BOC Hong Kong (Holdings) Limited,2388.HK,HSI,Banks—Regional,Financial Services,230.49,-7.02,7.16,NA,NA,4.09,0.76,-0.12,NA,26,2,11,13
Wharf Real Estate Investment Company Limited,1997.HK,HSI,Real Estate Services,Real Estate,85.01,133.22,21.71,NA,NA,5.3,0.39,8.3,10.25,NA,NA,NA,NA
Hang Lung Properties Limited,0101.HK,HSI,Real Estate Services,Real Estate,86.63,124.63,14.06,NA,NA,9.78,0.62,14.06,20.91,20,3,8,9
China Mengniu Dairy Company Limited,2319.HK,HSI,Packaged Foods,Consumer Defensive,145.4,146.19,31.52,NA,NA,NA,40.52,NA,NA,39,15,16,7
CLP Holdings Limited,0002.HK,HSI,Utilities—Regulated Electric,Utilities,183.04,234.38,39.37,NA,NA,2.14,1.67,2.73,10.73,30,14,9,7
WH Group Limited,0288.HK,HSI,Packaged Foods,Consumer Defensive,101.57,104.16,NA,NA,NA,4.21,11.69,4.32,47.22,35,15,13,8
"Ping An Insurance (Group) Company of China, Ltd.",2318.HK,HSI,Insurance—Life,Financial Services,1810000,1520000,8.79,NA,NA,NA,18.83,NA,NA,26,2,8,16
CNOOC Limited,0883.HK,HSI,Oil & Gas E&P,Energy,376.82,380.4,5.51,NA,NA,NA,6.26,NA,NA,42,20,11,11
Industrial and Commercial Bank of China Limited,1398.HK,HSI,Banks—Diversified,Financial Services,2740000,1680000,4.84,NA,NA,NA,4.81,NA,NA,34,2,16,15
Tencent Holdings Limited,0700.HK,HSI,Internet Content & Information,Communication Services,5110000,5130000,48.57,NA,NA,NA,105.81,NA,NA,25,3,13,9
Hengan International Group Company Limited,1044.HK,HSI,Household & Personal Products,Consumer Defensive,78.04,79.05,17.87,NA,NA,NA,31.1,NA,NA,32,13,9,10
AAC Technologies Holdings Inc.,2018.HK,HSI,Communication Equipment,Technology,71.97,70.97,28.96,NA,NA,NA,27.18,NA,NA,20,9,4,7
Sands China Ltd.,1928.HK,HSI,Resorts & Casinos,Consumer Cyclical,240.22,239.69,15.17,NA,NA,27.27,54,27.21,79.52,19,2,8,9
Sun Hung Kai Properties Limited,0016.HK,HSI,Real Estate—Development,Real Estate,272.12,384.93,6.06,NA,NA,3.13,0.47,4.43,9.61,19,5,6,9
CITIC Limited,0267.HK,HSI,Conglomerates,Industrials,212.07,449.85,3.94,NA,NA,0.29,0.36,0.62,1.67,52,20,18,13
CK Infrastructure Holdings Limited,1038.HK,HSI,Utilities—Regulated Electric,Utilities,106.16,133.23,9.6,NA,NA,13.29,0.9,16.68,29.01,45,21,14,9
The Hong Kong and China Gas Company Limited,0003.HK,HSI,Utilities—Regulated Gas,Utilities,197.26,233.52,28.29,NA,NA,4.86,2.96,5.75,22.09,23,9,7,7
China Life Insurance Company Limited,2628.HK,HSI,Insurance—Life,Financial Services,961.61,519.51,7.81,NA,NA,NA,10.07,NA,NA,27,3,10,14
New World Development Company Limited,0017.HK,HSI,Real Estate—Diversified,Real Estate,95.97,250.5,1.32,NA,NA,1.6,0.39,4.18,16.54,17,2,5,9
CSPC Pharmaceutical Group Limited,1093.HK,HSI,Drug Manufacturers—General,Healthcare,120.19,114.35,28.91,NA,NA,NA,5.85,NA,NA,37,2,20,15
Antofagasta plc,ANTO.L,FTSE,Copper,Basic Materials,10.13,12.89,20.2,NA,NA,2.04,137.25,2.6,5.91,29,14,9,6
Reckitt Benckiser Group plc,RB.L,FTSE,Household & Personal Products,Consumer Defensive,55.55,66.89,NA,NA,NA,4.11,557.01,4.95,16.85,23,6,10,7
Royal Dutch Shell plc,RDSB.L,FTSE,Oil & Gas Integrated,Energy,88.68,169.38,9.11,NA,NA,0.28,48.49,0.53,4.04,37,19,10,9
MERCK Kommanditgesellschaft auf Aktien,MRK.DE,GDAXI,Drug Manufacturers—Specialty & Generic,Healthcare,47.22,60.8,29.67,NA,NA,2.81,2.54,3.62,13.43,24,1,13,9
Covestro AG,1COV.DE,GDAXI,Specialty Chemicals,Basic Materials,6.36,7.83,41.5,3.59,0.62,0.58,1.21,0.71,10.03,20,11,3,6
Techtronic Industries Company Limited,0669.HK,HSI,Tools & Accessories,Industrials,150.06,150.1,31.26,NA,NA,19.57,44.18,19.58,183.47,25,10,10,6
Sino Land Company Limited,0083.HK,HSI,Real Estate—Development,Real Estate,65.45,29.21,9.02,NA,NA,9.95,0.44,4.44,9.09,19,5,6,8
China Petroleum & Chemical Corporation,0386.HK,HSI,Oil & Gas Integrated,Energy,508.95,414.06,6.41,NA,NA,NA,3.75,NA,NA,52,20,19,12
China Mobile Limited,0941.HK,HSI,Telecom Services,Communication Services,1090000,1090000,9.12,NA,NA,NA,6.93,NA,NA,20,3,9,7
China Resources Land Limited,1109.HK,HSI,Real Estate—Development,Real Estate,230.33,232.47,7.02,NA,NA,NA,1.56,NA,NA,21,5,7,8
AIA Group Limited,1299.HK,HSI,Insurance—Life,Financial Services,856.59,796.11,16.54,NA,NA,17.87,14.84,16.6,85.47,15,0,7,7
The Procter & Gamble Company,PG,DJI,Household & Personal Products,Consumer Defensive,325.35,340.46,70.81,25.13,3.38,4.62,7.29,4.84,17.86,26,8,9,8
